id_personne;person_id;trip_id;departure_time;arrival_time;travel_time;following_purpose;is_commute;mode;preceeding_activity_index;following_activity_index
10744001000.0;4233;2.0;16.75;18.29604215420628;1.5460421542062797;home;False;pt;2.0;3.0
8483402000.0;4611;1.0;7.583333333333332;7.622912034264022;0.03957870093069005;other;False;car;1.0;2.0
8483402000.0;4611;2.0;7.75;7.814437307201354;0.06443730720135399;work;True;car;2.0;3.0
8483402000.0;4611;3.0;16.25;16.314437307201356;0.06443730720135576;other;False;car;3.0;4.0
8483402000.0;4611;4.0;16.583333333333332;16.622912034264022;0.03957870093069005;home;False;car;4.0;5.0
8483402000.0;4611;5.0;17.25;17.45276273898406;0.2027627389840596;leisure;False;car_passenger;5.0;6.0
8483402000.0;4611;6.0;19.5;19.70276273898406;0.2027627389840596;home;False;car_passenger;6.0;7.0
9541001000.0;4612;1.0;7.0;7.6447826377935435;0.6447826377935435;work;True;pt;1.0;2.0
9541001000.0;4612;2.0;16.5;17.144782637793544;0.6447826377935435;home;False;pt;2.0;3.0
30656103000.0;4613;1.0;7.0;7.014626314920725;0.014626314920724859;education;True;car_passenger;1.0;2.0
30656103000.0;4613;2.0;15.75;15.764626314920726;0.014626314920725747;home;False;car_passenger;2.0;3.0
18099801000.0;4626;1.0;10.0;10.210370815466405;0.2103708154664048;work;True;pt;1.0;2.0
18099801000.0;4626;2.0;22.0;22.210370815466405;0.2103708154664048;home;False;pt;2.0;3.0
40007401000.0;5030;1.0;7.0;7.959760651829403;0.9597606518294031;work;True;car;1.0;2.0
40007401000.0;5030;2.0;16.0;16.959760651829402;0.9597606518294022;home;False;car;2.0;3.0
24953201000.0;5485;1.0;7.0;7.196772195257355;0.19677219525735534;work;True;car;1.0;2.0
24953201000.0;5485;2.0;16.5;16.696772195257356;0.19677219525735623;home;False;car;2.0;3.0
8016202000.0;5491;1.0;7.0;7.477101303162861;0.47710130316286126;work;True;pt;1.0;2.0
8016202000.0;5491;2.0;16.25;16.416666666666668;0.16666666666666785;other;False;car;2.0;3.0
8016202000.0;5491;3.0;16.416666666666668;16.794049790825657;0.3773831241589889;other;False;car;3.0;4.0
8016202000.0;5491;4.0;17.166666666666668;17.204051005633673;0.03738433896700499;home;False;car;4.0;5.0
8016202000.0;5491;5.0;17.833333333333332;17.891767407789942;0.058434074456609864;other;False;car;5.0;6.0
8016202000.0;5491;6.0;18.0;18.05843407445661;0.058434074456609864;home;False;car;6.0;7.0
13486901000.0;5492;1.0;7.666666666666668;8.181014932621324;0.5143482659546557;work;True;car;1.0;2.0
13486901000.0;5492;2.0;17.25;17.764348265954656;0.5143482659546557;home;False;car;2.0;3.0
10268003000.0;5493;1.0;12.5;12.594648820550072;0.09464882055007173;other;False;car;1.0;2.0
10268003000.0;5493;2.0;13.75;13.757812400399365;0.007812400399364705;shop;False;car;2.0;3.0
10268003000.0;5493;3.0;14.0;14.0047478837391;0.004747883739099734;shop;False;car;3.0;4.0
10268003000.0;5493;4.0;14.25;14.344681278907288;0.09468127890728795;home;False;car;4.0;5.0
2688704000.0;5494;1.0;8.583333333333334;8.721233664274344;0.13790033094100984;education;True;pt;1.0;2.0
2688704000.0;5494;2.0;16.333333333333332;16.47123366427434;0.13790033094100806;home;False;pt;2.0;3.0
2688704000.0;5494;3.0;20.25;20.324600164509185;0.07460016450918516;other;False;car_passenger;3.0;4.0
2688704000.0;5494;4.0;20.75;20.824600164509185;0.07460016450918516;home;False;car_passenger;4.0;5.0
12484802000.0;5575;1.0;9.0;9.130220958434187;0.13022095843418668;leisure;False;car_passenger;1.0;2.0
12484802000.0;5575;2.0;11.25;11.440178653698462;0.19017865369846199;shop;False;car_passenger;2.0;3.0
12484802000.0;5575;3.0;14.0;14.143358756479543;0.1433587564795431;home;False;car_passenger;3.0;4.0
12484802000.0;5575;4.0;16.0;16.01785557268754;0.0178555726875409;leisure;False;car;4.0;5.0
12484802000.0;5575;5.0;16.833333333333332;16.851188906020873;0.0178555726875409;home;False;car;5.0;6.0
2527101000.0;5576;1.0;10.0;10.517725828600428;0.5177258286004278;leisure;False;car;1.0;2.0
2527101000.0;5576;2.0;12.5;13.017725828600428;0.5177258286004278;home;False;car;2.0;3.0
5084601000.0;5731;1.0;6.416666666666668;7.167628660043162;0.7509619933764942;work;True;car;1.0;2.0
5084601000.0;5731;2.0;15.583333333333336;16.33429532670983;0.7509619933764959;home;False;car;2.0;3.0
5084601000.0;5731;3.0;18.0;18.718707294299193;0.7187072942991932;leisure;False;car;3.0;4.0
5084601000.0;5731;4.0;23.91666666666667;24.635373960965865;0.7187072942991932;home;False;car_passenger;4.0;5.0
4034701000.0;5798;1.0;8.0;8.735221030868965;0.7352210308689653;shop;False;car;1.0;2.0
4034701000.0;5798;2.0;9.833333333333334;10.5685543642023;0.7352210308689653;home;False;car;2.0;3.0
6390402000.0;5799;1.0;7.333333333333332;7.374915344301999;0.04158201096866687;education;True;pt;1.0;2.0
6390402000.0;5799;2.0;16.5;16.70791005484333;0.2079100548433317;home;False;walk;2.0;3.0
10441702000.0;6147;1.0;13.5;13.99006754342674;0.49006754342673986;shop;False;car;1.0;2.0
10441702000.0;6147;2.0;15.25;15.74006754342674;0.49006754342673986;home;False;car;2.0;3.0
15597801000.0;6148;1.0;8.333333333333334;8.413050379373935;0.07971704604060115;other;False;car_passenger;1.0;2.0
15597801000.0;6148;2.0;17.416666666666668;17.496383712707267;0.07971704604059937;home;False;car_passenger;2.0;3.0
15597801000.0;6148;3.0;18.75;18.79240356588779;0.042403565887788375;leisure;False;car;3.0;4.0
